video_name,column,genotype,timepoint
20250206_J10_Pink1_W118_46070_28509_29972_31262_104363,1,empty ,D10
20250206_J10_Pink1_W118_46070_28509_29972_31262_104363,2, Pink1 RNAi ,D10
20250206_J10_Pink1_W118_46070_28509_29972_31262_104363,3, White ,D10
20250206_J10_Pink1_W118_46070_28509_29972_31262_104363,4,Synj1,D10
20250206_J10_Pink1_W118_46070_28509_29972_31262_104363,5,DNAJC6,D10
20250206_J10_Pink1_W118_46070_28509_29972_31262_104363,6,VPS13C,D10
20250206_J10_Pink1_W118_46070_28509_29972_31262_104363,7,Pink1 RNAi 2,D10
20250206_J10_Pink1_W118_46070_28509_29972_31262_104363,8,Parkin ,D10
20250207_J10_105752_W118_46070_28509_104329,1,empty ,D10
20250207_J10_105752_W118_46070_28509_104329,2,PTRHD1,D10
20250207_J10_105752_W118_46070_28509_104329,3,White ,D10
20250207_J10_105752_W118_46070_28509_104329,4,Synj1,D10
20250207_J10_105752_W118_46070_28509_104329,5,DNAJC6,D10
20250207_J10_105752_W118_46070_28509_104329,6,DJ1-alpha,D10
20250207_J10_105752_W118_46070_28509_104329,7,empty,D10
20250207_J10_105752_W118_46070_28509_104329,8,empty ,D10
20250207_J10_Pink1_31262_104363_29972,1,empty ,D10
20250207_J10_Pink1_31262_104363_29972,2,empty,D10
20250207_J10_Pink1_31262_104363_29972,3,Pink1 RNAi ,D10
20250207_J10_Pink1_31262_104363_29972,4,Pink1 RNAi 2,D10
20250207_J10_Pink1_31262_104363_29972,5,Parkin ,D10
20250207_J10_Pink1_31262_104363_29972,6,VPS13C,D10
20250207_J10_Pink1_31262_104363_29972,7,empty,D10
20250207_J10_Pink1_31262_104363_29972,8,empty ,D10
20250213_J17_DicerII_29972_104363_31262_28509_W118_46070_Pink1,1,empty ,D17
20250213_J17_DicerII_29972_104363_31262_28509_W118_46070_Pink1,2,VPS13C,D17
20250213_J17_DicerII_29972_104363_31262_28509_W118_46070_Pink1,3,Parkin,D17
20250213_J17_DicerII_29972_104363_31262_28509_W118_46070_Pink1,4,Pink1 RNAi 2,D17
20250213_J17_DicerII_29972_104363_31262_28509_W118_46070_Pink1,5,DNAJC6,D17
20250213_J17_DicerII_29972_104363_31262_28509_W118_46070_Pink1,6, White,D17
20250213_J17_DicerII_29972_104363_31262_28509_W118_46070_Pink1,7,Synj1,D17
20250213_J17_DicerII_29972_104363_31262_28509_W118_46070_Pink1,8,Pink1 RNAi ,D17
20250214_J17_DicerII_Chloe_31262_105752_46070_W118,1,empty ,D17
20250214_J17_DicerII_Chloe_31262_105752_46070_W118,2,empty,D17
20250214_J17_DicerII_Chloe_31262_105752_46070_W118,3,Pink1 RNAi 2,D17
20250214_J17_DicerII_Chloe_31262_105752_46070_W118,4,PTRHD1,D17
20250214_J17_DicerII_Chloe_31262_105752_46070_W118,5,Synj1,D17
20250214_J17_DicerII_Chloe_31262_105752_46070_W118,6,White,D17
20250214_J17_DicerII_Chloe_31262_105752_46070_W118,7,empty,D17
20250214_J17_DicerII_Chloe_31262_105752_46070_W118,8,empty ,D17
20250214_J17_DicerII_Chloe_104363_Pink1_28509_29972_104329,1,empty ,D17
20250214_J17_DicerII_Chloe_104363_Pink1_28509_29972_104329,2,Parkin,D17
20250214_J17_DicerII_Chloe_104363_Pink1_28509_29972_104329,3,Pink1 RNAi,D17
20250214_J17_DicerII_Chloe_104363_Pink1_28509_29972_104329,4,DNAJC6,D17
20250214_J17_DicerII_Chloe_104363_Pink1_28509_29972_104329,5,VPS13C,D17
20250214_J17_DicerII_Chloe_104363_Pink1_28509_29972_104329,6,Dj1-alpha,D17
20250214_J17_DicerII_Chloe_104363_Pink1_28509_29972_104329,7,empty,D17
20250214_J17_DicerII_Chloe_104363_Pink1_28509_29972_104329,8,empty ,D17
20250219_J17_DicerII_28509_31262_Pink1_29972,1,empty ,D17
20250219_J17_DicerII_28509_31262_Pink1_29972,2,empty,D17
20250219_J17_DicerII_28509_31262_Pink1_29972,3,DNAJC6,D17
20250219_J17_DicerII_28509_31262_Pink1_29972,4,Pink1 RNAi 2,D17
20250219_J17_DicerII_28509_31262_Pink1_29972,5,Pink1 RNAi ,D17
20250219_J17_DicerII_28509_31262_Pink1_29972,6,VPS13C,D17
20250219_J17_DicerII_28509_31262_Pink1_29972,7,empty,D17
20250219_J17_DicerII_28509_31262_Pink1_29972,8,empty ,D17
20250219_J17_DicerII_105752_104329_46070_104363_W118,1,empty ,D17
20250219_J17_DicerII_105752_104329_46070_104363_W118,2,PTRHD1,D17
20250219_J17_DicerII_105752_104329_46070_104363_W118,3,DJ1-alpha,D17
20250219_J17_DicerII_105752_104329_46070_104363_W118,4,Synj1,D17
20250219_J17_DicerII_105752_104329_46070_104363_W118,5,Parkin ,D17
20250219_J17_DicerII_105752_104329_46070_104363_W118,6,White,D17
20250219_J17_DicerII_105752_104329_46070_104363_W118,7,empty,D17
20250219_J17_DicerII_105752_104329_46070_104363_W118,8,empty ,D17
